treatment_order,city_key,grid_id,station_event_id,station_name,wgs84_lon,wgs84_lat,opening_date,opening_month,competing_event_ids,post_treatment_censor_year
17,shanghai,g00134x00122,shanghai_station_7afe3f29ac59,龙溪路(地铁站),121.3753977,31.1962628,2010-04-10,2010-04,,
18,shanghai,g00135x00125,shanghai_station_9974f50358ab,水城路(地铁站),121.3876127,31.2013341,2010-04-10,2010-04,,
19,shanghai,g00135x00127,shanghai_station_236f64d8052a,伊犁路(地铁站),121.3992504,31.2007302,2010-04-10,2010-04,,
20,shanghai,g00135x00128,shanghai_station_3d014b7d6859,宋园路(地铁站),121.4074342,31.1983934,2010-04-10,2010-04,,
21,shanghai,g00135x00130,shanghai_station_b47c1099ea18,虹桥路(地铁站),121.4161747,31.1993824,2010-04-10,2010-04,,
22,shanghai,g00137x00135,shanghai_station_e15f7ddab79b,上海图书馆站,121.43965,31.21,2010-04-10,2010-04,,
23,shanghai,g00139x00142,shanghai_station_95cadf02a1f2,老西门(地铁站),121.479305,31.22099,2010-04-10,2010-04,,
24,shanghai,g00147x00142,shanghai_station_86208cd6b939,四川北路(地铁站),121.4797186,31.2539971,2010-04-10,2010-04,,
25,shanghai,g00148x00143,shanghai_station_849010a01081,海伦路站,121.48532,31.26096,2010-04-10,2010-04,,
26,shanghai,g00150x00144,shanghai_station_7c8f768a5810,邮电新村站,121.48975,31.27037,2010-04-10,2010-04,,
27,shanghai,g00152x00146,shanghai_station_2354f55d14d2,四平路(地铁站),121.4970584,31.2768837,2010-04-10,2010-04,,
28,shanghai,g00153x00147,shanghai_station_caa4f65f7873,同济大学(地铁站),121.501856,31.2839191,2010-04-10,2010-04,,
29,shanghai,g00157x00148,shanghai_station_976f88502a47,五角场(地铁站),121.5102475,31.3000764,2010-04-10,2010-04,,
30,shanghai,g00158x00148,shanghai_station_5dd3e7115142,江湾体育场(地铁站),121.5089244,31.3063201,2010-04-10,2010-04,,
31,shanghai,g00160x00147,shanghai_station_086c22b528b2,三门路站,121.5038,31.3152,2010-04-10,2010-04,,
32,shanghai,g00162x00147,shanghai_station_959d983d005f,殷高东路(地铁站),121.5023826,31.3237691,2010-04-10,2010-04,,
33,shanghai,g00164x00147,shanghai_station_799da2bf9b37,新江湾城(地铁站),121.5025365,31.3304951,2010-04-10,2010-04,,
34,shanghai,g00129x00140,shanghai_station_3812d78a89aa,后滩站,121.469,31.1742,2010-04-20,2010-04,,
35,shanghai,g00131x00142,shanghai_station_ebfcac421202,世博大道站,121.4791667,31.185,2010-04-20,2010-04,,
36,shanghai,g00135x00142,shanghai_station_41496f37bb68,世博会博物馆站,121.47711,31.19924,2010-04-20,2010-04,,
37,shanghai,g00137x00141,shanghai_station_98db13b5cc56,马当路(地铁站),121.4727465,31.2114819,2010-04-20,2010-04,,
38,nanjing,g00170x00123,nanjing_station_bc67c4f44670,中国药科大学(地铁站),118.9091135,31.8998641,2010-05-28,2010-05,,
39,nanjing,g00173x00121,nanjing_station_3678b0abfa6e,南京交院(地铁站),118.8997939,31.9150466,2010-05-28,2010-05,,
40,nanjing,g00177x00107,nanjing_station_945c3c3b5551,小龙湾(地铁站),118.8276344,31.9318445,2010-05-28,2010-05,,
41,nanjing,g00177x00110,nanjing_station_a025272d6d1a,竹山路(地铁站),118.8406359,31.9339987,2010-05-28,2010-05,,
42,nanjing,g00178x00113,nanjing_station_4753d85eb445,天印大道站,118.85847,31.93986,2010-05-28,2010-05,,
43,nanjing,g00178x00118,nanjing_station_a6bb8bca028a,南医大·江苏经贸学院(地铁站),118.8852255,31.9356636,2010-05-28,2010-05,,
44,nanjing,g00179x00116,nanjing_station_c85143d83e30,龙眠大道(地铁站),118.8721319,31.9420824,2010-05-28,2010-05,,
45,nanjing,g00180x00105,nanjing_station_2b8a72eac997,胜太路(地铁站),118.8162681,31.9456403,2010-05-28,2010-05,,
46,nanjing,g00181x00105,nanjing_station_486499d5691e,河定桥(地铁站),118.8150126,31.9541829,2010-05-28,2010-05,,
47,nanjing,g00184x00086,nanjing_station_8c7c64cf40d6,油坊桥站,118.71434,31.96773,2010-05-28,2010-05,,
48,nanjing,g00184x00104,nanjing_station_d1aa530ef42f,双龙大道(地铁站),118.8120604,31.9659212,2010-05-28,2010-05,,
49,nanjing,g00187x00094,nanjing_station_a15c88d9010b,天隆寺(地铁站),118.7579157,31.9812942,2010-05-28,2010-05,,
50,nanjing,g00187x00096,nanjing_station_b6f4164fc26d,软件大道(地铁站),118.7693915,31.9788305,2010-05-28,2010-05,,
51,nanjing,g00187x00098,nanjing_station_4f4d57deee75,花神庙(地铁站),118.7804545,31.9798364,2010-05-28,2010-05,,
52,nanjing,g00188x00086,nanjing_station_e3c093344d28,雨润大街(地铁站),118.7174117,31.9857135,2010-05-28,2010-05,,
53,nanjing,g00193x00087,nanjing_station_3f4b326b3ff4,奥体东(地铁站),118.7238758,32.0071106,2010-05-28,2010-05,,
54,nanjing,g00195x00089,nanjing_station_ca0c16f3adf8,兴隆大街(地铁站),118.731248,32.0172281,2010-05-28,2010-05,,
55,nanjing,g00198x00089,nanjing_station_56803152d7b7,集庆门大街(地铁站),118.73436,32.0306057,2010-05-28,2010-05,,
56,nanjing,g00200x00091,nanjing_station_35a18a1b8653,云锦路(地铁站),118.7420998,32.0369441,2010-05-28,2010-05,,
57,nanjing,g00200x00093,nanjing_station_8b84eeb2b532,莫愁湖(地铁站),118.7543457,32.0394621,2010-05-28,2010-05,,
58,nanjing,g00200x00105,nanjing_station_e441e22636b9,明故宫站,118.819,32.0392,2010-05-28,2010-05,,
59,nanjing,g00200x00111,nanjing_station_9b3a7334f257,下马坊站,118.848,32.0375,2010-05-28,2010-05,,
60,nanjing,g00200x00112,nanjing_station_77ddcd4fbc64,孝陵卫站,118.857,32.0356,2010-05-28,2010-05,,
61,nanjing,g00201x00094,nanjing_station_9a55b733bcc3,汉中门(地铁站),118.7618612,32.0447639,2010-05-28,2010-05,,
62,nanjing,g00201x00096,nanjing_station_b97e5a23b983,上海路(地铁站),118.7709971,32.0443259,2010-05-28,2010-05,,
63,nanjing,g00201x00107,nanjing_station_975ebd72a916,苜蓿园(地铁站),118.8302058,32.0423787,2010-05-28,2010-05,,
64,nanjing,g00211x00120,nanjing_station_23c329a3108f,仙鹤门(地铁站),118.8998883,32.0871364,2010-05-28,2010-05,,
65,nanjing,g00213x00122,nanjing_station_b91ad337b5cd,学则路(地铁站),118.9117449,32.093502,2010-05-28,2010-05,,
66,nanjing,g00214x00126,nanjing_station_9abaa0a11aa2,仙林中心站,118.9297222,32.0983333,2010-05-28,2010-05,,
67,nanjing,g00217x00130,nanjing_station_9a4e1a5ca71e,南大仙林校区(地铁站),118.9543914,32.110921,2010-05-28,2010-05,,
68,nanjing,g00218x00134,nanjing_station_f916d76fbc39,经天路(地铁站),118.9714802,32.1182656,2010-05-28,2010-05,,
69,wuhan,g00153x00123,wuhan_station_c8d2bbd5b59b,汉西一路站,114.21352,30.58789,2010-07-29,2010-07,,
70,wuhan,g00154x00122,wuhan_station_f0b73383d5ba,古田四路站,114.2062,30.5917,2010-07-29,2010-07,,
71,wuhan,g00155x00121,wuhan_station_0a76621c8bfb,古田三路站,114.1994,30.5958,2010-07-29,2010-07,,
72,wuhan,g00156x00119,wuhan_station_e988457afb1f,古田二路站,114.1912,30.5999,2010-07-29,2010-07,,
73,wuhan,g00157x00117,wuhan_station_103be71a8e95,古田一路(地铁站),114.1775129,30.6069072,2010-07-29,2010-07,,
74,wuhan,g00158x00114,wuhan_station_865a1bca9268,舵落口(地铁站),114.1638752,30.6122656,2010-07-29,2010-07,,
75,wuhan,g00160x00108,wuhan_station_9a812c111fc9,五环大道(地铁站),114.1332336,30.6200015,2010-07-29,2010-07,,
76,wuhan,g00160x00112,wuhan_station_0439012f75b6,额头湾(地铁站),114.1503126,30.6207901,2010-07-29,2010-07,,
77,wuhan,g00160x00142,wuhan_station_ebdd356d111d,头道街(地铁站),114.3084636,30.6202025,2010-07-29,2010-07,,
78,wuhan,g00161x00143,wuhan_station_8ec37a97dbec,二七路站,114.31328,30.62735,2010-07-29,2010-07,,
79,wuhan,g00162x00106,wuhan_station_8737a81690c8,东吴大道(地铁站),114.1228694,30.6272538,2010-07-29,2010-07,,
80,wuhan,g00162x00144,wuhan_station_f013eb540a09,徐州新村(地铁站),114.3174612,30.633533,2010-07-29,2010-07,,
81,wuhan,g00165x00145,wuhan_station_7ecdaca111aa,丹水池站,114.32455,30.6458,2010-07-29,2010-07,,
82,wuhan,g00170x00147,wuhan_station_24e99796ec85,堤角(地铁站),114.3327702,30.6681806,2010-07-29,2010-07,,
83,guangzhou,g00117x00084,guangzhou_station_f4361e33deb8,石壁(地铁站),113.272631,22.9968591,2010-09-25,2010-09,,
84,guangzhou,g00126x00087,guangzhou_station_2c9e203fabf0,南浦(地铁站),113.2877972,23.0356164,2010-09-25,2010-09,,
85,guangzhou,g00128x00088,guangzhou_station_a60e1820aaf8,洛溪(地铁站),113.2932983,23.0455708,2010-09-25,2010-09,,
86,guangzhou,g00133x00088,guangzhou_station_46651afcbb29,南洲(地铁站),113.2920829,23.0673993,2010-09-25,2010-09,,
87,guangzhou,g00134x00087,guangzhou_station_4bdc2f7c7483,东晓南(地铁站),113.288813,23.0740025,2010-09-25,2010-09,,
88,guangzhou,g00137x00084,guangzhou_station_bed0463428f5,江泰路(地铁站),113.275228,23.0849135,2010-09-25,2010-09,,
89,guangzhou,g00138x00083,guangzhou_station_11e35701f1c9,昌岗(地铁站),113.2717705,23.0927759,2010-09-25,2010-09,,
90,guangzhou,g00159x00082,guangzhou_station_ec6da1808146,白云公园(地铁站),113.2656277,23.1842649,2010-09-25,2010-09,,
91,guangzhou,g00161x00083,guangzhou_station_52f88a2b4548,白云文化广场(地铁站),113.2702585,23.192219,2010-09-25,2010-09,,
92,guangzhou,g00165x00084,guangzhou_station_f56bcda34c2b,江夏(地铁站),113.2780966,23.2139298,2010-09-25,2010-09,,
93,guangzhou,g00168x00085,guangzhou_station_ad3c4e428cf1,黄边(地铁站),113.2820154,23.2242653,2010-09-25,2010-09,,
94,guangzhou,g00171x00085,guangzhou_station_5e9489a1aab0,嘉禾望岗站,113.28387,23.23994,2010-09-25,2010-09,,
95,guangzhou,g00173x00087,guangzhou_station_011dac379a86,嘉禾车辆段,113.290243,23.248533,2010-09-25,2010-09,,
96,chengdu,g00120x00228,chengdu_station_6d50ad1dbd76,世纪城(地铁站),104.0664156,30.5573302,2010-09-27,2010-09,,
97,chengdu,g00125x00228,chengdu_station_d757c31ae276,金融城站,104.064,30.5825,2010-09-27,2010-09,,
98,chengdu,g00128x00228,chengdu_station_2a774045f4a0,高新站,104.064,30.5942,2010-09-27,2010-09,,
99,chengdu,g00133x00228,chengdu_station_8972ebc498bb,桐梓林站,104.06468,30.61775,2010-09-27,2010-09,,
100,chengdu,g00137x00228,chengdu_station_66a7ecff9e6a,省體育館站,104.06407,30.63567,2010-09-27,2010-09,,
101,chengdu,g00141x00228,chengdu_station_330100081497,锦江宾馆站,104.06356,30.65194,2010-09-27,2010-09,,
102,chengdu,g00146x00229,chengdu_station_7443814afa47,文殊院站,104.0661111,30.6758333,2010-09-27,2010-09,,
103,chengdu,g00153x00232,chengdu_station_b5c478316935,升仙湖(地铁站),104.080939,30.7070065,2010-09-27,2010-09,,
104,shenyang,g00145x00155,shenyang_station_2bc13a110055,十三号街(地铁站),123.2247054,41.763199,2010-09-27,2010-09,,
105,shenyang,g00145x00157,shenyang_station_0db77497b36e,中央大街(地铁站),123.2367331,41.7631378,2010-09-27,2010-09,,
106,shenyang,g00145x00160,shenyang_station_001b5cd0743f,七号街(地铁站),123.2535239,41.7631228,2010-09-27,2010-09,,
107,shenyang,g00145x00163,shenyang_station_6aa042e5c98d,四号街(地铁站),123.2714328,41.7637552,2010-09-27,2010-09,,
108,shenyang,g00146x00166,shenyang_station_9ae80e0d74ec,张士(地铁站),123.2882155,41.7696436,2010-09-27,2010-09,,
109,shenyang,g00148x00168,shenyang_station_5b2a1f7b8e2a,开发大道(地铁站),123.2993367,41.7787411,2010-09-27,2010-09,,
110,shenyang,g00150x00184,shenyang_station_7c6b11c2e5d2,太原街(地铁站),123.4003074,41.7872092,2010-09-27,2010-09,,
111,shenyang,g00150x00187,shenyang_station_0bfbf00dd942,南市场(地铁站),123.4137612,41.7869565,2010-09-27,2010-09,,
112,shenyang,g00151x00168,shenyang_station_0ac3a5cde4a7,于洪广场(地铁站),123.2997676,41.7918738,2010-09-27,2010-09,,
113,shenyang,g00152x00176,shenyang_station_1a1a0f05a3b0,保工街(地铁站),123.3500427,41.7978861,2010-09-27,2010-09,,
114,shenyang,g00152x00180,shenyang_station_eb30e6ff70d1,云峰北街(地铁站),123.3743843,41.7940718,2010-09-27,2010-09,,
115,shenyang,g00152x00191,shenyang_station_d7af6d822bf1,怀远门(地铁站),123.4411485,41.7945446,2010-09-27,2010-09,,
116,shenyang,g00153x00174,shenyang_station_6bff78181e55,启工街(地铁站),123.3375237,41.8013427,2010-09-27,2010-09,,
117,shenyang,g00153x00195,shenyang_station_5c3a7f5d72c3,东中街(地铁站),123.4645527,41.8004823,2010-09-27,2010-09,,
118,shenyang,g00154x00204,shenyang_station_da3071d0a684,新惠街(地铁站),123.515623,41.8043417,2010-09-27,2010-09,,
119,shenyang,g00155x00205,shenyang_station_95e2b5660660,新宁街(地铁站),123.5253008,41.8109956,2010-09-27,2010-09,,
120,shenyang,g00157x00207,shenyang_station_4b03bc70d95e,东大营街(地铁站),123.5395718,41.8163627,2010-09-27,2010-09,,
121,shenyang,g00157x00211,shenyang_station_ff8b652c766f,农业大学(地铁站),123.5587327,41.8196018,2010-09-27,2010-09,,
122,shenyang,g00158x00213,shenyang_station_3ba6746013b3,前陵(地铁站),123.5740073,41.8205069,2010-09-27,2010-09,,
123,shenyang,g00159x00216,shenyang_station_fe12384ae9a4,东陵公园(地铁站),123.5899005,41.8275558,2010-09-27,2010-09,,
124,shenyang,g00163x00219,shenyang_station_e73ef57a2f09,水泉(地铁站),123.6097683,41.843497,2010-09-27,2010-09,,
125,shenyang,g00165x00221,shenyang_station_9c87bd02bc7a,伯官北大街(地铁站),123.6204747,41.852882,2010-09-27,2010-09,,
126,shenyang,g00165x00223,shenyang_station_832f6ff958dd,植物园(地铁站),123.6333154,41.8517229,2010-09-27,2010-09,,
127,shenyang,g00165x00226,shenyang_station_b8e69081e0ac,双马(地铁站),123.6526715,41.8531109,2010-09-27,2010-09,,
128,guangzhou,g00157x00092,guangzhou_station_83080ad6b382,梅花园(地铁站),113.3149905,23.1776804,2010-10-30,2010-10,,
129,guangzhou,g00160x00093,guangzhou_station_58ac29912e11,京溪南方医院(地铁站),113.3206961,23.1877928,2010-10-30,2010-10,,
130,guangzhou,g00162x00093,guangzhou_station_b9686a5b6c3f,同和(地铁站),113.320833,23.1996232,2010-10-30,2010-10,,
131,guangzhou,g00167x00089,guangzhou_station_2cabcbdfd3e6,永泰(地铁站),113.3008426,23.222473,2010-10-30,2010-10,,
132,guangzhou,g00168x00087,guangzhou_station_7c7c6e690cf0,白云大道北(地铁站),113.2921032,23.2247547,2010-10-30,2010-10,,
133,guangzhou,g00183x00087,guangzhou_station_a28058888386,龙归(地铁站),113.2954468,23.2913154,2010-10-30,2010-10,,
134,guangzhou,g00193x00086,guangzhou_station_2442a1f540e0,人和站,113.2901722,23.3382556,2010-10-30,2010-10,,
135,guangzhou,g00154x00093,guangzhou_station_6f04643a6983,燕塘(地铁站),113.3216279,23.1628325,2010-10-31,2010-10,,
136,foshan,g00107x00171,foshan_station_d9031b9311c0,朝安(地铁站),113.128066,23.0302402,2010-11-03,2010-11,,
137,foshan,g00108x00172,foshan_station_55a0f4e0603b,桂城(地铁站),113.1359713,23.0342478,2010-11-03,2010-11,,
138,foshan,g00108x00175,foshan_station_0c1011c156f3,南桂路(地铁站),113.1486984,23.0367608,2010-11-03,2010-11,,
139,guangzhou,g00138x00082,guangzhou_station_dfbe9f31d4ba,宝岗大道(地铁站),113.2643692,23.088718,2010-11-03,2010-11,,
140,guangzhou,g00139x00079,guangzhou_station_e32e67575663,凤凰新村(地铁站),113.250671,23.0973991,2010-11-03,2010-11,,
141,shanghai,g00133x00120,shanghai_station_bbd75ac16927,上海动物园(地铁站),121.3635166,31.1921241,2010-11-30,2010-11,,
142,shanghai,g00134x00112,shanghai_station_abde78c13028,虹桥2号航站楼站,121.31987,31.19613,2010-11-30,2010-11,,
143,shanghai,g00134x00116,shanghai_station_ec845f503f52,虹桥1号航站楼(地铁站),121.3427887,31.1932729,2010-11-30,2010-11,,
144,shanghai,g00177x00119,shanghai_station_d6328ca2f003,罗南新村(地铁站),121.3528505,31.390645,2010-12-28,2010-12,,
145,shanghai,g00180x00117,shanghai_station_1b45b4bf0c74,美兰湖(地铁站),121.3452882,31.4037118,2010-12-28,2010-12,,
146,shenzhen,g00164x00070,shenzhen_station_5b768279fbe2,蛇口港(地铁站),113.9074748,22.4796785,2010-12-28,2010-12,,
147,shenzhen,g00165x00067,shenzhen_station_f9473220e48a,赤湾(地铁站),113.8926603,22.4822816,2010-12-28,2010-12,,
148,shenzhen,g00167x00072,shenzhen_station_928871605e75,水湾(地铁站),113.9148292,22.491437,2010-12-28,2010-12,,
149,shenzhen,g00168x00076,shenzhen_station_15db354e9297,湾厦(地铁站),113.9337357,22.496378,2010-12-28,2010-12,,
150,shenzhen,g00169x00075,shenzhen_station_2023fb747baa,海月(地铁站),113.9328472,22.5034354,2010-12-28,2010-12,,
151,shenzhen,g00171x00075,shenzhen_station_7869363602b7,登良(地铁站),113.9327337,22.5121724,2010-12-28,2010-12,,
152,shenzhen,g00173x00077,shenzhen_station_be21b1aab9d7,后海(地铁站),113.9386276,22.5211881,2010-12-28,2010-12,,
153,shenzhen,g00174x00082,shenzhen_station_58c94ff82e28,红树湾(地铁站),113.9635138,22.5281017,2010-12-28,2010-12,,
154,shenzhen,g00187x00112,shenzhen_station_68ce087e7727,草埔(地铁站),114.1113944,22.5871314,2010-12-28,2010-12,,
155,shenzhen,g00191x00114,shenzhen_station_cca8a661c1b8,布吉(地铁站),114.1160598,22.605016,2010-12-28,2010-12,,
156,shenzhen,g00193x00117,shenzhen_station_9e2ddb73ccc2,大芬(地铁站),114.1332986,22.616896,2010-12-28,2010-12,,
157,shenzhen,g00199x00128,shenzhen_station_402d8631e723,塘坑(地铁站),114.1877995,22.6419765,2010-12-28,2010-12,,
158,shenzhen,g00203x00134,shenzhen_station_4fbfc4a842b3,永湖(地铁站),114.2131716,22.6618255,2010-12-28,2010-12,,
159,shenzhen,g00206x00135,shenzhen_station_310f0794ab41,荷坳(地铁站),114.2194497,22.6759128,2010-12-28,2010-12,,
160,shenzhen,g00212x00137,shenzhen_station_f4ecb7583b56,爱联(地铁站),114.2295758,22.7003305,2010-12-28,2010-12,,
161,shenzhen,g00214x00139,shenzhen_station_34fb52780258,吉祥(地铁站),114.2394805,22.7123243,2010-12-28,2010-12,,
162,beijing,g00068x00175,beijing_station_73a666ca857d,天宫院(地铁站),116.3138462,39.6690682,2010-12-30,2010-12,,
163,beijing,g00071x00175,beijing_station_536f259e536b,生物医药基地(地铁站),116.3155703,39.6852303,2010-12-30,2010-12,,
164,beijing,g00077x00175,beijing_station_228ceb7c6795,义和庄(地铁站),116.3129898,39.7111084,2010-12-30,2010-12,,
165,beijing,g00079x00177,beijing_station_33c7e7f26cde,黄村火车站(地铁站),116.3264897,39.7216601,2010-12-30,2010-12,,
166,beijing,g00080x00142,beijing_station_736978d16d89,苏庄(地铁站),116.1190364,39.7218199,2010-12-30,2010-12,,
167,beijing,g00080x00144,beijing_station_657dbbaa7c91,良乡南关(地铁站),116.134567,39.7218539,2010-12-30,2010-12,,
168,beijing,g00080x00147,beijing_station_3b380f94cb61,良乡大学城西(地铁站),116.1500846,39.7218345,2010-12-30,2010-12,,
169,beijing,g00080x00150,beijing_station_824e6c238567,良乡大学城(地铁站),116.1704003,39.721874,2010-12-30,2010-12,,
170,beijing,g00081x00152,beijing_station_deca1d251725,良乡大学城北(地铁站),116.1773577,39.7286329,2010-12-30,2010-12,,
171,beijing,g00081x00177,beijing_station_a3072def1e2e,黄村西大街(地铁站),116.3265086,39.730462,2010-12-30,2010-12,,
172,beijing,g00084x00177,beijing_station_cc543f2276c8,清源路(地铁站),116.3263895,39.7414159,2010-12-30,2010-12,,
173,beijing,g00085x00152,beijing_station_6625b02ec82c,广阳城(地铁站),116.1788646,39.7466576,2010-12-30,2010-12,,
174,beijing,g00086x00177,beijing_station_49503b4b7493,枣园(地铁站),116.3260799,39.7521493,2010-12-30,2010-12,,
175,beijing,g00088x00153,beijing_station_7853069cb43d,篱笆房(地铁站),116.1833761,39.7593702,2010-12-30,2010-12,,
176,beijing,g00088x00177,beijing_station_2abc2d2019ee,高米店南(地铁站),116.325481,39.7621804,2010-12-30,2010-12,,
177,beijing,g00089x00157,beijing_station_a6a9ba5791a9,长阳(地铁站),116.2066365,39.7626406,2010-12-30,2010-12,,
178,beijing,g00090x00213,beijing_station_d85bf8dc7530,同济南路(地铁站),116.5339841,39.7717982,2010-12-30,2010-12,,
179,beijing,g00091x00177,beijing_station_ac1459b1bc7d,高米店北(地铁站),116.3246636,39.772239,2010-12-30,2010-12,,
180,beijing,g00092x00210,beijing_station_34dccaac4ffb,荣昌东街(地铁站),116.5158262,39.7816492,2010-12-30,2010-12,,
181,beijing,g00093x00217,beijing_station_166bd15bada5,经海路(地铁站),116.5564465,39.7825285,2010-12-30,2010-12,,
182,beijing,g00094x00177,beijing_station_90dbf9f415ea,西红门(地铁站),116.3225684,39.7884945,2010-12-30,2010-12,,
183,beijing,g00095x00158,beijing_station_fc84e2c78163,稻田(地铁站),116.2127922,39.793659,2010-12-30,2010-12,,
184,beijing,g00095x00208,beijing_station_a01dad30005a,荣京东街(地铁站),116.5074479,39.7919574,2010-12-30,2010-12,,
185,beijing,g00095x00220,beijing_station_e54f014e2a94,次渠南(地铁站),116.5755815,39.7940803,2010-12-30,2010-12,,
186,beijing,g00097x00203,beijing_station_b61e11d1f389,亦庄桥(地铁站),116.4742395,39.8017378,2010-12-30,2010-12,,
187,beijing,g00097x00207,beijing_station_e9d6ec372537,万源街(地铁站),116.499473,39.8017221,2010-12-30,2010-12,,
188,beijing,g00098x00170,beijing_station_6ee339ca3317,大葆台(地铁站),116.285634,39.806568,2010-12-30,2010-12,,
189,beijing,g00098x00199,beijing_station_fd0335471964,旧宫(地铁站),116.4546551,39.8055852,2010-12-30,2010-12,,
190,beijing,g00098x00204,beijing_station_b096c4526d0d,亦庄文化园(地铁站),116.4846023,39.8056465,2010-12-30,2010-12,,
191,beijing,g00099x00183,beijing_station_ff2de1028731,新宫(地铁站),116.3593488,39.8112208,2010-12-30,2010-12,,
192,beijing,g00103x00199,beijing_station_d37a177f2eba,小红门(地铁站),116.4531188,39.82672,2010-12-30,2010-12,,
193,beijing,g00104x00197,beijing_station_4224303c0a37,肖村(地铁站),116.4421916,39.8328631,2010-12-30,2010-12,,
194,beijing,g00146x00205,beijing_station_4218d9a85c3c,崔各庄(地铁站),116.4869203,40.0209539,2010-12-30,2010-12,,
195,beijing,g00148x00207,beijing_station_11f5ef02f78f,马泉营(地铁站),116.497471,40.0325047,2010-12-30,2010-12,,
196,beijing,g00151x00212,beijing_station_3a826d3eae5b,孙河(地铁站),116.5288002,40.043984,2010-12-30,2010-12,,
197,beijing,g00156x00216,beijing_station_a1a5b41f228d,国展(地铁站),116.5492792,40.0689443,2010-12-30,2010-12,,
198,beijing,g00159x00216,beijing_station_c9af088f1447,花梨坎(地铁站),116.5517488,40.0833537,2010-12-30,2010-12,,
199,beijing,g00162x00171,beijing_station_f65e9a8dbce0,生命科学园(地铁站),116.288143,40.0935295,2010-12-30,2010-12,,
200,beijing,g00166x00217,beijing_station_49da984000ed,后沙峪(地铁站),116.5583758,40.1130531,2010-12-30,2010-12,,
201,beijing,g00170x00171,beijing_station_5756c4f8f836,巩华城(地铁站),116.2878878,40.1296369,2010-12-30,2010-12,,
202,beijing,g00174x00170,beijing_station_a42f44300886,沙河(地铁站),116.2827798,40.1470204,2010-12-30,2010-12,,
203,beijing,g00177x00169,beijing_station_ee28b0a795c6,沙河高教园(地铁站),116.2743891,40.163417,2010-12-30,2010-12,,
204,beijing,g00187x00170,beijing_station_7ae2c89bff8e,南邵(地铁站),116.2815402,40.2062686,2010-12-30,2010-12,,
205,shanghai,g00157x00088,shanghai_station_b88af5f2d9ea,昌吉东路(地铁站),121.1959097,31.295573,2011-04-26,2011-04,,
206,tianjin,g00141x00113,tianjin_station_f98e9100b664,东兴路(地铁站),117.2363018,39.1024445,2011-05-01,2011-05,,
207,tianjin,g00143x00111,tianjin_station_effa345ce027,直沽(地铁站),117.2276551,39.1100262,2011-05-01,2011-05,,
208,tianjin,g00145x00109,tianjin_station_b62d9018ef9a,十一经路站,117.2175379,39.1204583,2011-05-01,2011-05,,
209,shenzhen,g00176x00071,shenzhen_station_59c132fa1775,大新(地铁站),113.9102126,22.5352821,2011-06-15,2011-06,,
210,shenzhen,g00177x00067,shenzhen_station_58d4d8ae43d4,前海湾(地铁站),113.893065,22.5403884,2011-06-15,2011-06,,
211,shenzhen,g00180x00067,shenzhen_station_48deba1cd70b,新安(地铁站),113.8897532,22.5505199,2011-06-15,2011-06,,
212,shenzhen,g00181x00065,shenzhen_station_8bdaa529a9f0,宝安中心(地铁站),113.8823519,22.5576229,2011-06-15,2011-06,,
